bin	presence	KO
bin.008	1	K07217
bin.008	1	K02355
bin.008	1	K10778
bin.008	1	K00799
bin.008	1	K03829
bin.008	1	K00315
bin.008	1	K00479
bin.008	1	K02111
bin.008	1	K02113
bin.008	1	K02904
bin.008	1	K02878
bin.008	1	K02961
bin.008	1	K02982
bin.008	1	K03798
bin.008	1	K00951
bin.008	1	K09920
bin.008	1	K09773
bin.008	1	K02014
bin.008	1	K00826
bin.008	1	K01271
bin.008	1	K03790
bin.008	1	K07064
bin.008	1	K00574
bin.008	1	K03070
bin.008	1	K03701
bin.008	1	K01687
bin.008	1	K00384
bin.008	1	K07497
bin.008	1	K07483
bin.008	1	K02429
bin.008	1	K00033
bin.008	1	K00324
bin.008	1	K07493
bin.008	1	K07481
bin.008	1	K17734
bin.008	1	K14205
bin.008	1	K15738
bin.008	1	K02662
bin.008	1	K03205
bin.008	1	K07492
bin.008	1	K03117
bin.008	1	K07560
bin.008	1	K03116
bin.008	1	K03497
bin.008	1	K07678
bin.008	1	K02126
bin.008	1	K03881
bin.008	1	K00575
bin.008	1	K03406
bin.008	1	K04752
bin.008	1	K05337
bin.008	1	K06910
bin.008	1	K02212
bin.008	1	K02212
bin.008	1	K00248
bin.008	1	K03787
bin.008	1	K02014
bin.008	1	K01114
bin.008	1	K07497
bin.008	1	K07497
bin.008	1	K02014
bin.008	1	K03767
bin.008	1	K02493
bin.008	1	K03814
bin.008	1	K02438
bin.008	1	K01971
bin.008	1	K19222
bin.008	1	K02233
bin.008	1	K00016
bin.008	1	K14448
bin.008	1	K10979
bin.008	1	K03215
bin.008	1	K09969
bin.008	1	K11893
bin.008	1	K07241
bin.008	1	K05962
bin.008	1	K02274
bin.008	1	K02256
bin.008	1	K02262
bin.008	1	K02950
bin.008	1	K02992
bin.008	1	K00995
bin.008	1	K07487
bin.008	1	K04091
bin.008	1	K06978
bin.008	1	K03704
bin.008	1	K01999
bin.008	1	K01181
bin.008	1	K06990
bin.008	1	K07088
bin.008	1	K11811
bin.008	1	K00537
bin.008	1	K04077
bin.008	1	K01358
bin.008	1	K03544
bin.008	1	K03545
bin.008	1	K03978
bin.008	1	K02335
bin.008	1	K00384
bin.008	1	K00384
bin.008	1	K10227
bin.008	1	K03217
bin.008	1	K09936
bin.008	1	K03704
bin.008	1	K00065
bin.008	1	K01955
bin.008	1	K03555
bin.008	1	K06400
bin.008	1	K17760
bin.008	1	K05570
bin.008	1	K00919
bin.008	1	K01897
bin.008	1	K07154
bin.008	1	K06893
bin.008	1	K00626
bin.008	1	K02014
bin.008	1	K02014
bin.008	1	K13953
bin.008	1	K03322
bin.008	1	K17323
bin.008	1	K17322
bin.008	1	K01692
bin.008	1	K08482
bin.008	1	K07484
bin.008	1	K05837
